Are you self-employed?,How many employees does your company or organization have?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Have you ever discussed your mental health with coworkers?,"Overall, how much importance does your employer place on mental health?",Do you *currently* have a mental health disorder?,Have you ever been *diagnosed* with a mental health disorder?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,How willing would you be to share with friends and family that you have a mental illness?,Are you openly identified at work as a person with a mental health issue?,Have you observed or experienced an *unsupportive or badly handled response* to a mental health issue in your current or previous workplace?,Have you observed or experienced a *supportive or well handled response* to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",Age,Gender,Race,Country,State
0,26-100,1,I don't know,No,I don't know,Very easy,0,1,Possibly,,0,I don't know,2,0,No,No,2,28,Female,White,United States of America,Alaska
0,500-1000,1,Yes,Yes,Yes,I don't know,0,9,No,,0,No,10,0,"Yes, I observed","Yes, I observed",3,41,male,,Brazil,
0,100-500,1,Yes,No,I don't know,Somewhat easy,1,5,No,,0,No,5,0,No,Maybe/Not sure,3,35,Male,,Brazil,
1,,,,,,,,,Don't Know,,0,Yes,1,0,Maybe/Not sure,"Yes, I observed",2,20,male,,Italy,
0,More than 1000,1,Yes,Yes,Yes,Difficult,0,10,No,,1,No,8,0,No,Maybe/Not sure,3,35,female,,Canada,
0,6-25,1,No,No,No,Difficult,0,1,No,,0,No,5,0,Maybe/Not sure,No,1,30,Female,More than one of the above,United States of America,New York
0,More than 1000,1,No,Yes,Yes,Somewhat easy,0,5,Yes,No,0,No,8,0,Maybe/Not sure,Maybe/Not sure,5,34,female,Asian,United States of America,Maryland
0,More than 1000,1,Yes,No,No,Very easy,0,6,Don't Know,,0,I don't know,4,0,Maybe/Not sure,Maybe/Not sure,3,23,female,,Germany,
0,More than 1000,1,No,Yes,No,Somewhat difficult,0,6,No,,0,No,4,0,"Yes, I observed","Yes, I observed",2,19,Female,,India,
1,,,,,,,,,Yes,No,1,Yes,3,0,No,No,2,34,f,,Belarus,
0,More than 1000,0,Yes,Yes,Yes,Very easy,0,6,No,,1,No,5,0,Maybe/Not sure,Maybe/Not sure,3,25,Male,,Germany,
0,26-100,1,No,No,No,Neither easy nor difficult,0,5,No,,0,No,2,0,No,No,2,29,Male,,India,
0,26-100,0,No,No,No,Somewhat difficult,0,2,No,,0,No,8,0,"Yes, I experienced",No,2,40,F,,Germany,
0,100-500,0,No,No,No,Very easy,1,3,No,,0,No,10,0,No,No,2,26,female,,Macedonia,
0,100-500,1,No,No,No,Somewhat difficult,0,0,Possibly,,0,Yes,7,0,Maybe/Not sure,Maybe/Not sure,1,25,Male,,Macedonia,
