"","Timestamp","Age","Gender","Country","State","self.emplyed","family.history","seek.treatment","MH.interferes.work","company.size","work.remotely","tech.company","MH.benefits","know.care.options","employer.discussed.MH.wellness","employer.privode.resources","anonymity.protected","easy.leave","MH.discuss.neg.consq","PH.discuss.neg.consq","discuss.MH.coworkers","discuss.MH.supervisor","MH.inerview","PH.inerview","serious","MH.neg.cons"
"1",2014,37,"F","United States","IL",NA,"No","Yes","Often","6-25","No","Yes","Yes","Not sure","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Yes","No"
"2",2014,44,"M","United States","IN",NA,"No","No","Rarely","More than 1000","No","No","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No"
"3",2014,32,"M","Canada",NA,NA,"No","No","Rarely","6-25","No","Yes","No","No","No","No","Don't know","Somewhat difficult","No","No","Yes","Yes","Yes","Yes","No","No"
"4",2014,31,"M","United Kingdom",NA,NA,"Yes","Yes","Often","26-100","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes"
"5",2014,31,"M","United States","TX",NA,"No","No","Never","100-500","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Yes","Yes","Don't know","No"
"6",2014,33,"M","United States","TN",NA,"Yes","No","Sometimes","6-25","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","Maybe","Don't know","No"
"7",2014,35,"F","United States","MI",NA,"Yes","Yes","Sometimes","1-5","Yes","Yes","No","No","No","No","No","Somewhat difficult","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"8",2014,39,"M","Canada",NA,NA,"No","No","Never","1-5","Yes","Yes","No","Yes","No","No","Yes","Don't know","No","No","No","No","No","No","No","No"
"9",2014,42,"F","United States","IL",NA,"Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Very difficult","Maybe","No","Yes","Yes","No","Maybe","No","No"
"10",2014,23,"M","Canada",NA,NA,"No","No","Never","26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
"11",2014,31,"M","United States","OH",NA,"No","Yes","Sometimes","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No"
"12",2014,29,"M","Bulgaria",NA,NA,"No","No","Never","100-500","Yes","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Yes","Yes","Yes","Yes","Don't know","No"
"13",2014,42,"F","United States","CA",NA,"Yes","Yes","Sometimes","26-100","No","No","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Yes","Yes","Yes","Maybe","Maybe","No","Yes"
"14",2014,36,"M","United States","CT",NA,"Yes","No","Never","500-1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No"
"15",2014,27,"M","Canada",NA,NA,"No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No"
"16",2014,29,"F","United States","IL",NA,"Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Some of them","Maybe","Maybe","Don't know","No"
"17",2014,23,"M","United Kingdom",NA,NA,"No","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","Maybe","No","Some of them","No","Maybe","Maybe","No","No"
"18",2014,32,"M","United States","TN",NA,"No","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","No","No"
"19",2014,46,"M","United States","MD","Yes","Yes","No","Sometimes","1-5","Yes","Yes","Yes","Not sure","Yes","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Yes","Yes","Yes"
"20",2014,36,"M","France",NA,"Yes","Yes","No",NA,"6-25","Yes","Yes","No","No","Yes","No","Yes","Somewhat easy","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No"
"21",2014,29,"M","United States","NY","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","No","No"
"22",2014,31,"M","United States","NC","Yes","No","No","Never","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Yes","No"
"23",2014,46,"M","United States","MA","No","No","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No"
"24",2014,41,"M","United States","IA","No","No","Yes","Never","More than 1000","No","No","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Yes","Don't know","No"
"25",2014,33,"M","United States","CA","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","Don't know","Yes","Yes","Don't know","No","No","Yes","Yes","No","Yes","Don't know","No"
"26",2014,35,"M","United States","TN","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","No","Don't know","No","Very easy","Yes","No","Some of them","Yes","No","Yes","No","No"
"27",2014,33,"M","United States","TN","No","No","No",NA,"1-5","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Don't know","No"
"28",2014,35,"F","United States","CA","No","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No"
